sample,mc_ppb,date
MP-1-1-SW,0.0798495,2
MP-1-2-SW,0.074001013,2
MP-1-3-SW,0.061109229,2
MP-1-4-SW,0.083956285,2
MP-1-5-SW,0.067162632,2
ODR-2-1-SW,0.072047867,1
ODR-2-2-SW,0.077547287,1
ODR-2-3-SW,0.084590261,1
ODR-2-4-SW,0.133625884,1
ODR-2-5-SW,0.085872611,1
ODR-3-1-SW,0.064683268,1
ODR-3-2-SW,0.097099758,1
ODR-3-3-SW,0.064144848,1
ODR-3-4-SW,0.092969666,1
ODR-3-5-SW,0.089762422,1
TF-1-1-SW,0.05778095,2
TF-1-2-SW,0.067556762,2
TF-1-3-SW,0.068810577,2
TF-1-4-SW,0.060956182,2
TF-1-5-SW,0.094300188,2
TF-2-1-SW,0.118076669,2
TF-2-2-SW,0.071567689,2
TF-2-3-SW,0.050210881,2
TF-2-4-SW,0.072349613,2
TF-2-5-SW,0.072470665,2
UM-1-1-SW,0.077547287,1
UM-1-2-SW,0.059595888,1