sample,mass_addded,wolf_percent,lem_percent,spiro_percent
ODR-2-1,30.29,98,1,1
ODR-2-2,30.19,70,29,1
ODR-2-3,30.12,80,15,5
ODR-2-4,30.32,70,29,1
ODR-2-5,30.4,70,29,1
ODR-3-1,30.2,50,45,5
ODR-3-2,30.24,40,55,5
ODR-3-3,30.45,25,74,1
ODR-3-4,30.58,25,74,1
ODR-3-5,30.74,25,74,1
UM-1-1,30.34,70,10,20
UM-1-2,30.33,70,10,20
UM-1-3,30.59,70,10,20
UM-1-4,30.14,50,20,30
UM-1-5,30.43,50,20,30
MP-1-1,30.79,80,10,10
MP-1-2,30.01,95,5,10
MP-1-3,30.24,85,5,10
MP-1-4,30.1,85,5,10
MP-1-5,30.43,80,5,15
TF-1-1,30.64,98,2,0
TF-1-2,30.03,98,2,0
TF-1-3,30.8,98,2,0
TF-1-4,30.25,99,1,0
TF-1-5,30.82,99,1,0
TF-2-1,30.23,0,10,90
TF-2-2,30.23,0,2,98
TF-2-3,30.2,0,2,98
TF-2-4,20.75,0,2,98
TF-2-5,30.67,0,2,98